games,steps,buffer,avg_plies,decisive_rate,loss,loss_pi,loss_v,loss_q,loss_cons,q_w,q_d,q_l,pol_w,pol_d,pol_l,search_w,search_d,search_l,games_per_min
1000,1721,135107,134.6,0.345,3.0834,3.0113,0.0537,0.0153,0.0064,0,24,0,0,21,3,5,3,0,91.88
2000,3538,200000,136.2,0.305,2.7748,2.7173,0.0511,0.0042,0.0045,1,23,0,0,24,0,7,1,0,101.38
3000,5484,200000,134.5,0.38,2.3355,2.2897,0.0404,0.0035,0.0038,2,22,0,0,24,0,8,0,0,102.28
4000,7466,200000,130.8,0.4,2.143,2.095,0.0422,0.0038,0.0039,3,21,0,0,24,0,5,3,0,102.61
5000,9444,200000,132.5,0.365,2.0633,2.0097,0.0475,0.0042,0.0037,5,18,1,1,22,1,8,0,0,103.37
6000,11397,200000,132.6,0.385,2.0729,2.0141,0.0518,0.0046,0.0047,4,20,0,0,24,0,6,2,0,103.86
7000,13348,200000,127.0,0.46,2.1046,2.042,0.0557,0.0049,0.0039,7,17,0,1,23,0,8,0,0,104.91
8000,15280,200000,126.5,0.495,2.0892,2.0257,0.0556,0.0056,0.0045,3,21,0,3,21,0,8,0,0,105.59
9000,17265,200000,126.6,0.49,2.0631,1.9974,0.057,0.0061,0.005,6,18,0,2,22,0,8,0,0,106.12
10000,19208,200000,122.6,0.52,2.0471,1.9736,0.0636,0.0069,0.0061,6,18,0,6,18,0,8,0,0,106.72
11000,21169,200000,120.4,0.58,2.0188,1.9433,0.0642,0.0076,0.0072,2,22,0,1,23,0,8,0,0,107.18
12000,23075,200000,119.8,0.595,2.0124,1.9316,0.0684,0.0085,0.0078,7,17,0,6,18,0,8,0,0,107.65
13000,24971,200000,118.0,0.58,1.9883,1.9086,0.0671,0.0088,0.0077,3,21,0,5,19,0,8,0,0,108.16
14000,26858,200000,116.4,0.595,1.9437,1.8617,0.0679,0.0094,0.0094,5,19,0,7,17,0,8,0,0,108.68
15000,28697,200000,108.7,0.67,1.9373,1.8489,0.0735,0.0101,0.0097,2,22,0,3,21,0,8,0,0,109.36
16000,30495,200000,108.6,0.665,1.9262,1.8313,0.0791,0.0106,0.0103,6,18,0,6,18,0,8,0,0,110.07
17000,32299,200000,107.0,0.675,1.9174,1.8217,0.0794,0.0109,0.0109,4,20,0,6,18,0,8,0,0,110.71
18000,34102,200000,108.1,0.69,1.931,1.8351,0.0794,0.011,0.0109,2,22,0,11,13,0,7,1,0,111.12
19000,35928,200000,107.0,0.68,1.9347,1.8354,0.0814,0.0118,0.0123,9,15,0,6,18,0,8,0,0,111.56
20000,37725,200000,110.6,0.675,1.9305,1.8343,0.0783,0.012,0.0119,6,18,0,10,14,0,8,0,0,112.04
21000,39493,200000,111.8,0.68,1.8978,1.7978,0.0818,0.0123,0.0119,7,17,0,10,14,0,8,0,0,112.58
22000,41286,200000,107.9,0.715,1.9191,1.8134,0.0857,0.0129,0.0142,3,21,0,8,16,0,8,0,0,112.91
23000,43057,200000,104.5,0.76,1.9355,1.8271,0.0885,0.0129,0.014,5,19,0,5,19,0,8,0,0,113.29
24000,44861,200000,104.2,0.77,1.9273,1.8189,0.0879,0.0132,0.0144,5,19,0,5,19,0,8,0,0,113.62
25000,46671,200000,109.2,0.705,1.8871,1.7801,0.0866,0.0132,0.0145,2,22,0,9,15,0,6,2,0,113.75
26000,48517,200000,108.6,0.69,1.8809,1.7729,0.0873,0.0134,0.0145,12,12,0,5,19,0,8,0,0,114.01
27000,50351,200000,107.2,0.75,1.8979,1.7845,0.092,0.0135,0.0158,5,19,0,7,17,0,8,0,0,114.19
28000,52185,200000,109.1,0.69,1.9012,1.7892,0.0904,0.0135,0.0163,5,19,0,3,21,0,8,0,0,114.41
29000,54014,200000,104.5,0.73,1.8621,1.7565,0.0847,0.0135,0.0147,6,18,0,5,19,0,8,0,0,114.64
30000,55794,200000,104.0,0.735,1.848,1.7401,0.0869,0.0137,0.0146,5,19,0,5,19,0,8,0,0,115.0
31000,57551,200000,101.7,0.745,1.8299,1.7191,0.0888,0.0139,0.0162,3,21,0,8,16,0,8,0,0,115.17
32000,59331,200000,108.9,0.685,1.8267,1.7174,0.0874,0.014,0.0157,7,17,0,4,20,0,8,0,0,115.46
33000,61100,200000,104.5,0.755,1.8182,1.7094,0.0876,0.0137,0.015,7,17,0,6,18,0,8,0,0,115.65
34000,62890,200000,102.7,0.755,1.823,1.7136,0.088,0.0138,0.0154,2,22,0,7,17,0,8,0,0,115.74
35000,64654,200000,102.4,0.72,1.8424,1.7306,0.0896,0.0141,0.0162,7,17,0,7,17,0,7,1,0,115.91
36000,66423,200000,104.1,0.735,1.8582,1.7444,0.0909,0.0148,0.0164,3,21,0,9,15,0,8,0,0,116.1
37000,68223,200000,102.5,0.77,1.843,1.7277,0.0923,0.0146,0.0167,3,21,0,8,16,0,8,0,0,116.22
38000,70019,200000,109.2,0.705,1.8555,1.7425,0.0905,0.0144,0.0162,1,23,0,7,17,0,7,1,0,116.31
39000,71798,200000,101.2,0.74,1.8367,1.7249,0.0893,0.0142,0.0166,3,21,0,7,17,0,8,0,0,116.47
40000,73520,200000,101.0,0.755,1.8118,1.6956,0.0928,0.0145,0.0179,5,19,0,10,14,0,8,0,0,116.7
41000,75207,200000,99.4,0.78,1.8141,1.6976,0.0926,0.0148,0.0183,3,21,0,9,15,0,8,0,0,116.88
42000,76917,200000,104.5,0.71,1.8056,1.6936,0.089,0.0146,0.0169,5,19,0,6,18,0,8,0,0,117.1
43000,78659,200000,106.7,0.725,1.8046,1.6948,0.087,0.0144,0.0168,4,20,0,6,18,0,8,0,0,117.22
44000,80407,200000,102.0,0.815,1.7923,1.6798,0.0887,0.0148,0.018,4,20,0,8,16,0,8,0,0,117.34
45000,82136,200000,95.1,0.81,1.7982,1.6832,0.0913,0.0152,0.0173,6,18,0,6,18,0,8,0,0,117.48
46000,83879,200000,105.3,0.75,1.7727,1.6551,0.0939,0.0152,0.017,5,19,0,8,16,0,8,0,0,117.58
47000,85658,200000,100.2,0.825,1.7644,1.6416,0.0984,0.0153,0.0182,3,21,0,6,18,0,8,0,0,117.64
48000,87476,200000,109.5,0.72,1.7663,1.6415,0.1006,0.0153,0.018,6,18,0,6,18,0,8,0,0,117.69
49000,89254,200000,108.1,0.755,1.7566,1.6353,0.0978,0.0149,0.017,9,15,0,7,17,0,7,1,0,117.69
50000,91062,200000,107.8,0.7,1.7666,1.6487,0.0943,0.0152,0.0168,3,21,0,7,17,0,8,0,0,117.71
51000,92823,200000,100.5,0.795,1.7774,1.658,0.0961,0.0146,0.0174,3,21,0,5,19,0,8,0,0,117.74
52000,94576,200000,104.3,0.735,1.7734,1.6549,0.0951,0.0148,0.0172,4,20,0,12,12,0,8,0,0,117.84
53000,96355,200000,105.6,0.75,1.76,1.6444,0.0919,0.0149,0.0176,2,22,0,10,14,0,8,0,0,117.89
54000,98094,200000,102.3,0.75,1.7608,1.6471,0.0899,0.015,0.0176,5,19,0,4,20,0,8,0,0,118.0
55000,99845,200000,98.2,0.76,1.7702,1.652,0.094,0.0154,0.0177,5,19,0,9,15,0,8,0,0,118.03
56000,101638,200000,106.1,0.755,1.7803,1.666,0.09,0.015,0.0185,9,15,0,5,19,0,8,0,0,118.05
