learner on mps, 6 workers x 48 games (cpu, 2 threads), sims=16, net 2,772,161 params, study=on, gate at 2000 games
[25/100000] warmup | plies 42 decisive 100% | buffer 1054 steps 0 | 19.0 g/min eta 87.6h
[50/100000] warmup | plies 66 decisive 100% | buffer 3283 steps 0 | 28.7 g/min eta 58.0h
[75/100000] loss 3.972 (pi 3.337 v 0.467 q 0.118 c 0.100) | plies 82 decisive 100% | buffer 6115 steps 19 | 34.2 g/min eta 48.8h
[100/100000] loss 3.835 (pi 3.316 v 0.388 q 0.097 c 0.067) | plies 94 decisive 100% | buffer 9384 steps 65 | 37.6 g/min eta 44.2h
[125/100000] loss 3.706 (pi 3.282 v 0.320 q 0.081 c 0.047) | plies 106 decisive 82% | buffer 13309 steps 114 | 45.3 g/min eta 36.7h
[150/100000] loss 3.594 (pi 3.255 v 0.255 q 0.067 c 0.035) | plies 115 decisive 69% | buffer 17309 steps 164 | 52.7 g/min eta 31.6h
[175/100000] loss 3.508 (pi 3.235 v 0.202 q 0.057 c 0.028) | plies 122 decisive 59% | buffer 21309 steps 214 | 59.6 g/min eta 27.9h
[200/100000] loss 3.438 (pi 3.216 v 0.160 q 0.050 c 0.023) | plies 127 decisive 52% | buffer 25309 steps 264 | 66.1 g/min eta 25.1h
[225/100000] loss 3.388 (pi 3.205 v 0.128 q 0.045 c 0.020) | plies 141 decisive 39% | buffer 29309 steps 314 | 72.2 g/min eta 23.0h
[250/100000] loss 3.354 (pi 3.198 v 0.105 q 0.042 c 0.017) | plies 150 decisive 26% | buffer 33309 steps 364 | 77.8 g/min eta 21.4h
[275/100000] loss 3.328 (pi 3.193 v 0.089 q 0.039 c 0.015) | plies 156 decisive 14% | buffer 37309 steps 414 | 83.1 g/min eta 20.0h
[300/100000] loss 3.312 (pi 3.192 v 0.077 q 0.037 c 0.014) | plies 157 decisive 4% | buffer 40801 steps 461 | 88.3 g/min eta 18.8h
[325/100000] loss 3.305 (pi 3.191 v 0.071 q 0.036 c 0.014) | plies 150 decisive 9% | buffer 43320 steps 498 | 84.7 g/min eta 19.6h
[350/100000] loss 3.301 (pi 3.192 v 0.068 q 0.035 c 0.013) | plies 143 decisive 17% | buffer 45915 steps 535 | 82.4 g/min eta 20.2h
[375/100000] loss 3.301 (pi 3.196 v 0.065 q 0.034 c 0.012) | plies 139 decisive 22% | buffer 49150 steps 578 | 78.2 g/min eta 21.2h
[400/100000] loss 3.302 (pi 3.200 v 0.064 q 0.033 c 0.012) | plies 136 decisive 28% | buffer 52453 steps 625 | 78.7 g/min eta 21.1h
[425/100000] loss 3.303 (pi 3.202 v 0.063 q 0.032 c 0.011) | plies 133 decisive 32% | buffer 55827 steps 671 | 77.6 g/min eta 21.4h
[450/100000] loss 3.296 (pi 3.198 v 0.063 q 0.030 c 0.010) | plies 132 decisive 34% | buffer 59777 steps 721 | 80.5 g/min eta 20.6h
