learner on mps, 10 workers, sims=16
[25/10000] warmup | plies 118 decisive 48% | buffer 2940 steps 0 | 213.4 g/min eta 0.8h
[50/10000] loss 3.525 (pi 3.264 v 0.092 q 0.139 c 0.059) | plies 124 decisive 46% | buffer 6186 steps 17 | 231.5 g/min eta 0.7h
[75/10000] loss 3.039 (pi 2.836 v 0.086 q 0.096 c 0.042) | plies 129 decisive 41% | buffer 9710 steps 64 | 232.6 g/min eta 0.7h
[100/10000] loss 2.775 (pi 2.621 v 0.076 q 0.063 c 0.028) | plies 134 decisive 34% | buffer 13443 steps 111 | 224.7 g/min eta 0.7h
[125/10000] loss 2.627 (pi 2.509 v 0.067 q 0.042 c 0.018) | plies 137 decisive 30% | buffer 17069 steps 158 | 221.4 g/min eta 0.7h
[150/10000] loss 2.559 (pi 2.463 v 0.060 q 0.029 c 0.013) | plies 136 decisive 29% | buffer 20440 steps 204 | 223.3 g/min eta 0.7h
[175/10000] loss 2.533 (pi 2.456 v 0.053 q 0.020 c 0.009) | plies 138 decisive 28% | buffer 24130 steps 252 | 223.4 g/min eta 0.7h
[200/10000] loss 2.528 (pi 2.462 v 0.049 q 0.014 c 0.007) | plies 139 decisive 28% | buffer 27847 steps 300 | 221.9 g/min eta 0.7h
[225/10000] loss 2.517 (pi 2.458 v 0.046 q 0.010 c 0.005) | plies 144 decisive 22% | buffer 31767 steps 349 | 220.9 g/min eta 0.7h
[250/10000] loss 2.515 (pi 2.460 v 0.044 q 0.008 c 0.004) | plies 146 decisive 19% | buffer 35339 steps 395 | 222.1 g/min eta 0.7h
[275/10000] loss 2.515 (pi 2.465 v 0.042 q 0.007 c 0.003) | plies 145 decisive 18% | buffer 38804 steps 441 | 220.7 g/min eta 0.7h
[300/10000] loss 2.521 (pi 2.475 v 0.040 q 0.005 c 0.003) | plies 145 decisive 18% | buffer 42461 steps 489 | 221.3 g/min eta 0.7h
[325/10000] loss 2.531 (pi 2.487 v 0.038 q 0.005 c 0.002) | plies 146 decisive 18% | buffer 46325 steps 538 | 220.3 g/min eta 0.7h
[350/10000] loss 2.535 (pi 2.493 v 0.037 q 0.004 c 0.002) | plies 148 decisive 16% | buffer 50106 steps 586 | 218.4 g/min eta 0.7h
[375/10000] loss 2.532 (pi 2.492 v 0.036 q 0.004 c 0.002) | plies 148 decisive 16% | buffer 53684 steps 633 | 219.4 g/min eta 0.7h
[400/10000] loss 2.528 (pi 2.490 v 0.034 q 0.003 c 0.002) | plies 148 decisive 14% | buffer 57511 steps 682 | 219.0 g/min eta 0.7h
[425/10000] loss 2.529 (pi 2.492 v 0.033 q 0.003 c 0.002) | plies 147 decisive 16% | buffer 61149 steps 729 | 219.5 g/min eta 0.7h
[450/10000] loss 2.526 (pi 2.491 v 0.032 q 0.003 c 0.001) | plies 148 decisive 14% | buffer 64938 steps 778 | 218.6 g/min eta 0.7h
[475/10000] loss 2.527 (pi 2.492 v 0.032 q 0.003 c 0.001) | plies 148 decisive 15% | buffer 68428 steps 823 | 219.0 g/min eta 0.7h
[500/10000] loss 2.524 (pi 2.490 v 0.031 q 0.003 c 0.001) | plies 148 decisive 14% | buffer 72030 steps 869 | 218.6 g/min eta 0.7h
  EVAL @500: q-greedy 1-20-3 | policy-greedy 0-23-1 | search 5-3-0 (eval 23s)
[525/10000] loss 2.518 (pi 2.484 v 0.030 q 0.003 c 0.001) | plies 147 decisive 16% | buffer 75707 steps 917 | 175.6 g/min eta 0.9h
[550/10000] loss 2.515 (pi 2.482 v 0.030 q 0.002 c 0.001) | plies 147 decisive 16% | buffer 79442 steps 965 | 181.2 g/min eta 0.9h
[575/10000] loss 2.515 (pi 2.482 v 0.031 q 0.002 c 0.001) | plies 147 decisive 15% | buffer 83173 steps 1012 | 186.7 g/min eta 0.8h
[600/10000] loss 2.510 (pi 2.477 v 0.030 q 0.002 c 0.001) | plies 146 decisive 16% | buffer 86810 steps 1060 | 191.9 g/min eta 0.8h
[625/10000] loss 2.506 (pi 2.473 v 0.029 q 0.002 c 0.001) | plies 146 decisive 17% | buffer 90278 steps 1106 | 193.6 g/min eta 0.8h
[650/10000] loss 2.505 (pi 2.473 v 0.029 q 0.002 c 0.001) | plies 146 decisive 16% | buffer 94103 steps 1155 | 194.5 g/min eta 0.8h
[675/10000] loss 2.497 (pi 2.465 v 0.029 q 0.002 c 0.001) | plies 147 decisive 16% | buffer 97791 steps 1203 | 195.2 g/min eta 0.8h
