games,steps,buffer,avg_plies,decisive_rate,loss,loss_pi,loss_v,loss_q,loss_cons,q_w,q_d,q_l,pol_w,pol_d,pol_l,search_w,search_d,search_l,games_per_min
500,911,75638,144.2,0.18,2.2823,2.2511,0.0276,0.003,0.0013,2,21,1,0,24,0,2,6,0,161.38
1000,1861,148616,140.0,0.16,2.2475,2.2225,0.0225,0.002,0.0009,1,23,0,0,24,0,1,7,0,168.33
1500,2826,200000,148.4,0.105,2.2192,2.1978,0.0197,0.0013,0.0007,5,17,2,0,24,0,2,6,0,172.02
2000,3782,200000,141.9,0.175,2.1346,2.1172,0.0162,0.001,0.0005,1,23,0,0,23,1,2,6,0,174.18
2500,4749,200000,141.7,0.17,2.091,2.075,0.0148,0.0009,0.0005,4,19,1,0,24,0,5,3,0,177.22
3000,5713,200000,142.7,0.205,2.0571,2.0373,0.0183,0.0011,0.0008,6,18,0,0,24,0,8,0,0,180.05
3500,6680,200000,141.1,0.265,2.0459,2.0206,0.023,0.0017,0.0012,10,14,0,0,24,0,6,2,0,181.97
4000,7664,200000,135.8,0.335,2.0259,1.9929,0.0298,0.0023,0.0019,6,18,0,0,24,0,8,0,0,183.72
4500,8648,200000,128.6,0.455,2.0218,1.9792,0.0379,0.0032,0.003,11,13,0,3,21,0,8,0,0,186.18
5000,9634,200000,126.0,0.54,2.0057,1.9485,0.0498,0.0048,0.0052,12,11,1,4,20,0,8,0,0,188.17
5500,10580,200000,119.3,0.525,2.0075,1.9418,0.056,0.0063,0.0068,13,11,0,4,20,0,8,0,0,190.8
6000,11524,200000,117.7,0.555,2.0068,1.9371,0.0594,0.0069,0.0067,11,13,0,4,20,0,8,0,0,193.21
6500,12484,200000,120.5,0.52,1.9879,1.9194,0.0591,0.0066,0.0056,10,14,0,2,22,0,8,0,0,195.24
7000,13430,200000,117.8,0.53,1.9743,1.9035,0.0613,0.0069,0.0051,10,14,0,8,16,0,8,0,0,196.81
7500,14362,200000,115.7,0.585,1.9626,1.8945,0.0586,0.007,0.0051,8,16,0,10,14,0,8,0,0,198.53
8000,15287,200000,117.1,0.58,1.9562,1.8862,0.0595,0.0073,0.0062,7,17,0,8,16,0,8,0,0,199.97
8500,16233,200000,119.1,0.55,1.9448,1.8764,0.0579,0.0077,0.0056,14,10,0,6,18,0,8,0,0,200.88
9000,17176,200000,118.9,0.55,1.9507,1.8812,0.0585,0.0078,0.0063,4,20,0,12,12,0,8,0,0,202.35
9500,18143,200000,124.0,0.55,1.9454,1.8761,0.0584,0.0079,0.0061,6,18,0,11,13,0,8,0,0,203.13
10000,19120,200000,123.3,0.54,1.9514,1.8817,0.0584,0.0082,0.0065,7,17,0,10,14,0,8,0,0,203.71
