learner on mps, 10 workers, sims=16, study=on
[25/10000] warmup | plies 131 decisive 40% | buffer 3550 steps 0 | 166.3 g/min eta 1.0h
[50/10000] loss 3.329 (pi 3.103 v 0.064 q 0.132 c 0.059) | plies 139 decisive 32% | buffer 7419 steps 32 | 184.6 g/min eta 0.9h
[75/10000] loss 2.862 (pi 2.696 v 0.060 q 0.086 c 0.041) | plies 144 decisive 25% | buffer 11325 steps 82 | 187.8 g/min eta 0.9h
[100/10000] loss 2.591 (pi 2.471 v 0.052 q 0.055 c 0.026) | plies 146 decisive 21% | buffer 15246 steps 132 | 193.4 g/min eta 0.9h
[125/10000] loss 2.457 (pi 2.367 v 0.044 q 0.037 c 0.017) | plies 148 decisive 19% | buffer 19130 steps 181 | 193.6 g/min eta 0.9h
[150/10000] loss 2.378 (pi 2.309 v 0.038 q 0.025 c 0.011) | plies 147 decisive 18% | buffer 22844 steps 229 | 196.4 g/min eta 0.8h
[175/10000] loss 2.334 (pi 2.278 v 0.035 q 0.017 c 0.008) | plies 148 decisive 18% | buffer 26712 steps 280 | 197.8 g/min eta 0.8h
[200/10000] loss 2.312 (pi 2.263 v 0.033 q 0.012 c 0.006) | plies 148 decisive 18% | buffer 30534 steps 329 | 196.7 g/min eta 0.8h
[225/10000] loss 2.298 (pi 2.255 v 0.032 q 0.009 c 0.004) | plies 150 decisive 16% | buffer 34355 steps 381 | 197.8 g/min eta 0.8h
[250/10000] loss 2.298 (pi 2.258 v 0.031 q 0.007 c 0.003) | plies 150 decisive 15% | buffer 38160 steps 430 | 198.7 g/min eta 0.8h
[275/10000] loss 2.297 (pi 2.259 v 0.030 q 0.006 c 0.002) | plies 149 decisive 17% | buffer 41917 steps 479 | 198.7 g/min eta 0.8h
[300/10000] loss 2.298 (pi 2.262 v 0.030 q 0.005 c 0.002) | plies 149 decisive 16% | buffer 45917 steps 529 | 197.9 g/min eta 0.8h
[325/10000] loss 2.296 (pi 2.261 v 0.030 q 0.004 c 0.002) | plies 148 decisive 18% | buffer 49563 steps 576 | 199.4 g/min eta 0.8h
[350/10000] loss 2.292 (pi 2.258 v 0.029 q 0.004 c 0.002) | plies 149 decisive 18% | buffer 53444 steps 625 | 199.4 g/min eta 0.8h
[375/10000] loss 2.288 (pi 2.255 v 0.029 q 0.004 c 0.001) | plies 146 decisive 18% | buffer 56943 steps 670 | 200.6 g/min eta 0.8h
[400/10000] loss 2.284 (pi 2.252 v 0.028 q 0.003 c 0.001) | plies 145 decisive 19% | buffer 60523 steps 717 | 201.3 g/min eta 0.8h
[425/10000] loss 2.286 (pi 2.254 v 0.028 q 0.003 c 0.001) | plies 145 decisive 17% | buffer 64204 steps 764 | 202.2 g/min eta 0.8h
[450/10000] loss 2.289 (pi 2.257 v 0.028 q 0.003 c 0.001) | plies 143 decisive 20% | buffer 67720 steps 810 | 203.0 g/min eta 0.8h
