games,steps,buffer,avg_plies,decisive_rate,loss,loss_pi,loss_v,loss_q,loss_cons,q_w,q_d,q_l,pol_w,pol_d,pol_l,search_w,search_d,search_l,games_per_min
1000,1687,117862,103.8,0.82,1.7408,1.377,0.0668,0.0236,0.0574,6,18,0,5,19,0,8,0,0,57.17
2000,3500,200000,98.3,0.82,1.9263,1.5269,0.0749,0.0284,0.05,8,16,0,7,17,0,8,0,0,62.26
3000,5362,200000,102.4,0.81,2.0431,1.6339,0.0785,0.0313,0.0443,5,19,0,6,18,0,8,0,0,64.42
4000,7227,200000,103.0,0.82,2.0484,1.6351,0.0805,0.0288,0.0422,5,19,0,11,13,0,8,0,0,64.82
5000,9149,200000,105.8,0.785,2.0552,1.6419,0.0791,0.0277,0.0435,0,24,0,6,18,0,8,0,0,65.52
6000,11026,200000,103.1,0.79,2.0251,1.6277,0.0784,0.0275,0.044,4,20,0,8,16,0,8,0,0,65.61
7000,12908,200000,105.2,0.81,2.0603,1.6572,0.0797,0.0274,0.0413,1,23,0,7,17,0,8,0,0,65.88
8000,14753,200000,104.8,0.78,2.0511,1.6423,0.0807,0.0272,0.0433,3,21,0,6,18,0,7,1,0,66.02
9000,16624,200000,99.6,0.845,2.0399,1.6447,0.0802,0.0275,0.0425,5,19,0,5,19,0,8,0,0,66.18
10000,18464,200000,102.9,0.815,2.0305,1.6347,0.0815,0.0274,0.0408,3,21,0,8,16,0,8,0,0,66.34
11000,20301,200000,102.1,0.795,2.0531,1.6406,0.081,0.0278,0.042,7,17,0,7,17,0,8,0,0,66.51
12000,22143,200000,103.2,0.775,2.0565,1.6434,0.0824,0.0284,0.0432,2,22,0,10,14,0,8,0,0,66.61
13000,24036,200000,101.3,0.795,2.064,1.6648,0.0801,0.028,0.0459,4,20,0,12,12,0,8,0,0,66.52
14000,25904,200000,101.4,0.815,2.0958,1.6884,0.0825,0.0279,0.0464,3,21,0,13,11,0,8,0,0,66.61
15000,27777,200000,104.2,0.805,2.12,1.7134,0.0822,0.0279,0.0464,1,23,0,11,13,0,8,0,0,66.7
16000,29631,200000,104.4,0.84,2.1302,1.7218,0.0821,0.0288,0.0492,2,22,0,9,15,0,8,0,0,66.81
17000,31484,200000,100.9,0.825,2.14,1.7343,0.0824,0.0283,0.048,2,22,0,8,16,0,8,0,0,66.85
18000,33322,200000,98.0,0.835,2.1121,1.7181,0.0821,0.0286,0.0475,5,19,0,8,16,0,8,0,0,66.96
19000,35173,200000,103.6,0.785,2.14,1.7271,0.0822,0.0297,0.0487,2,22,0,10,14,0,8,0,0,66.97
20000,37070,200000,106.0,0.76,2.146,1.7295,0.0806,0.0289,0.0467,4,20,0,9,15,0,7,1,0,66.9
21000,38970,200000,103.8,0.765,2.1258,1.7236,0.0804,0.029,0.0454,2,22,0,6,18,0,8,0,0,66.88
22000,40853,200000,107.0,0.825,2.1128,1.7103,0.0827,0.0281,0.0478,3,21,0,11,13,0,8,0,0,66.83
23000,42729,200000,110.1,0.745,2.0905,1.6892,0.081,0.0285,0.0476,7,17,0,11,13,0,8,0,0,66.85
24000,44628,200000,107.4,0.81,2.0807,1.6753,0.0814,0.028,0.0454,6,18,0,10,14,0,7,0,1,66.89
25000,46523,200000,108.9,0.72,2.0679,1.6696,0.0804,0.0275,0.0442,1,23,0,10,14,0,8,0,0,66.82
26000,48327,200000,97.7,0.82,2.0435,1.6384,0.0817,0.0274,0.0446,1,23,0,12,12,0,8,0,0,66.88
27000,50157,200000,103.5,0.765,2.0108,1.5981,0.0838,0.0276,0.0437,5,19,0,8,16,0,8,0,0,66.92
28000,51973,200000,105.5,0.765,2.0268,1.6153,0.0834,0.0284,0.0451,6,18,0,10,14,0,7,1,0,66.65
29000,53797,200000,100.1,0.81,2.0232,1.6078,0.0823,0.0277,0.0437,4,20,0,10,14,0,8,0,0,66.74
30000,55633,200000,102.8,0.815,2.0151,1.6017,0.082,0.0283,0.0432,2,22,0,5,19,0,8,0,0,66.77
31000,57403,200000,94.4,0.835,2.0088,1.6104,0.0818,0.028,0.0444,8,16,0,11,13,0,8,0,0,66.49
32000,59194,200000,98.4,0.805,2.0194,1.6178,0.0819,0.028,0.0426,5,19,0,14,10,0,8,0,0,66.33
33000,60988,200000,101.7,0.78,2.0084,1.6088,0.0795,0.0282,0.045,7,17,0,5,19,0,7,1,0,66.38
34000,62849,200000,104.2,0.77,2.027,1.6211,0.08,0.0282,0.0426,3,21,0,13,11,0,8,0,0,66.39
35000,64688,200000,97.8,0.84,2.0245,1.6306,0.0796,0.0274,0.0436,3,21,0,9,15,0,7,1,0,66.45
