warm start from runs/run100k/ckpt_100000.pt (2,773,699 params)
learner on mps, 6 workers x 48 games (cpu, 2 threads), sims=32, net 2,773,699 params, study=on, gate at 0 games
  GATE OPEN @1: study/resignation enabled
[25/60000] warmup | plies 49 decisive 96% | buffer 1229 steps 0 | 12.3 g/min eta 81.5h
[50/60000] warmup | plies 62 decisive 98% | buffer 3125 steps 0 | 18.9 g/min eta 52.8h
[75/60000] loss 2.638 (pi 1.948 v 0.171 q 0.026 c 0.018) | plies 73 decisive 97% | buffer 5439 steps 10 | 23.9 g/min eta 41.7h
[100/60000] loss 2.341 (pi 1.712 v 0.150 q 0.025 c 0.025) | plies 82 decisive 96% | buffer 8210 steps 60 | 27.3 g/min eta 36.6h
[125/60000] loss 2.054 (pi 1.508 v 0.124 q 0.023 c 0.039) | plies 90 decisive 96% | buffer 11233 steps 108 | 30.5 g/min eta 32.7h
[150/60000] loss 1.858 (pi 1.382 v 0.103 q 0.022 c 0.050) | plies 96 decisive 96% | buffer 14435 steps 155 | 33.6 g/min eta 29.7h
[175/60000] loss 1.741 (pi 1.311 v 0.090 q 0.021 c 0.058) | plies 101 decisive 96% | buffer 17762 steps 200 | 36.8 g/min eta 27.1h
[200/60000] loss 1.672 (pi 1.274 v 0.080 q 0.020 c 0.062) | plies 105 decisive 95% | buffer 21113 steps 244 | 39.8 g/min eta 25.0h
[225/60000] loss 1.626 (pi 1.256 v 0.071 q 0.019 c 0.063) | plies 118 decisive 85% | buffer 25031 steps 293 | 43.8 g/min eta 22.7h
[250/60000] loss 1.592 (pi 1.246 v 0.063 q 0.018 c 0.064) | plies 129 decisive 72% | buffer 29031 steps 343 | 47.8 g/min eta 20.8h
[275/60000] loss 1.571 (pi 1.245 v 0.057 q 0.018 c 0.064) | plies 137 decisive 61% | buffer 33031 steps 393 | 51.6 g/min eta 19.3h
[300/60000] loss 1.561 (pi 1.251 v 0.053 q 0.017 c 0.064) | plies 143 decisive 50% | buffer 37031 steps 443 | 55.3 g/min eta 18.0h
[325/60000] loss 1.562 (pi 1.258 v 0.052 q 0.017 c 0.065) | plies 140 decisive 45% | buffer 39837 steps 482 | 53.6 g/min eta 18.5h
[350/60000] loss 1.559 (pi 1.260 v 0.051 q 0.017 c 0.064) | plies 135 decisive 44% | buffer 42295 steps 520 | 52.2 g/min eta 19.1h
[375/60000] loss 1.568 (pi 1.267 v 0.051 q 0.017 c 0.064) | plies 129 decisive 43% | buffer 44682 steps 558 | 52.1 g/min eta 19.1h
[400/60000] loss 1.575 (pi 1.270 v 0.052 q 0.017 c 0.063) | plies 122 decisive 44% | buffer 47052 steps 595 | 52.4 g/min eta 19.0h
[425/60000] loss 1.585 (pi 1.276 v 0.053 q 0.017 c 0.061) | plies 113 decisive 53% | buffer 49482 steps 630 | 53.2 g/min eta 18.6h
[450/60000] loss 1.598 (pi 1.283 v 0.055 q 0.018 c 0.061) | plies 104 decisive 64% | buffer 52110 steps 667 | 53.2 g/min eta 18.7h
[475/60000] loss 1.616 (pi 1.295 v 0.056 q 0.018 c 0.060) | plies 96 decisive 74% | buffer 54944 steps 713 | 54.2 g/min eta 18.3h
[500/60000] loss 1.619 (pi 1.291 v 0.058 q 0.019 c 0.060) | plies 87 decisive 85% | buffer 57747 steps 761 | 55.5 g/min eta 17.9h
[525/60000] loss 1.620 (pi 1.287 v 0.058 q 0.019 c 0.060) | plies 88 decisive 87% | buffer 60803 steps 812 | 56.6 g/min eta 17.5h
[550/60000] loss 1.632 (pi 1.295 v 0.059 q 0.019 c 0.059) | plies 91 decisive 86% | buffer 63705 steps 854 | 56.7 g/min eta 17.5h
[575/60000] loss 1.639 (pi 1.302 v 0.059 q 0.019 c 0.060) | plies 95 decisive 84% | buffer 66957 steps 900 | 57.4 g/min eta 17.3h
[600/60000] loss 1.654 (pi 1.310 v 0.061 q 0.020 c 0.060) | plies 99 decisive 82% | buffer 70284 steps 951 | 58.0 g/min eta 17.1h
[625/60000] loss 1.667 (pi 1.322 v 0.061 q 0.020 c 0.059) | plies 105 decisive 77% | buffer 73751 steps 1001 | 58.7 g/min eta 16.9h
[650/60000] loss 1.668 (pi 1.322 v 0.061 q 0.020 c 0.059) | plies 107 decisive 76% | buffer 76876 steps 1053 | 58.7 g/min eta 16.9h
